Title,Company,Location,Apply
b'Software Engineer',b'Instacart',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/software-engineer-at-instacart-3778290848?refId=C%2Bfz0b9Muv499UNFLoSJGQ%3D%3D&trackingId=6PwW4OH0KM7FzIsaRRljaw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Engineer (Remote)',b'Canny',b'Canada',b'https://ca.linkedin.com/jobs/view/software-engineer-remote-at-canny-3778664012?refId=C%2Bfz0b9Muv499UNFLoSJGQ%3D%3D&trackingId=3itpevDPUfc3dnc0A0jLFg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Java Developer',"b'Triunity Software, Inc.'","b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/junior-java-developer-at-triunity-software-inc-3784370400?refId=C%2Bfz0b9Muv499UNFLoSJGQ%3D%3D&trackingId=5R3AiH1ZtEB0xi%2FFUKjQWQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
